Frame Number, Sedan, SUV, Total
1, 4, 2, 6
2, 5, 1, 6
3, 2, 3, 5
4, 4, 1, 5
5, 4, 1, 5
6, 3, 2, 5
7, 2, 4, 6
8, 3, 2, 5
9, 2, 3, 5
10, 3, 2, 5
11, 3, 2, 5
12, 3, 1, 4
13, 2, 2, 4
14, 1, 4, 5
15, 2, 2, 4
16, 1, 4, 5
17, 1, 4, 5
18, 1, 4, 5
19, 1, 4, 5
20, 1, 4, 5
21, 2, 3, 5
22, 2, 3, 5
23, 2, 3, 5
24, 3, 2, 5
25, 2, 3, 5
26, 3, 1, 4
27, 3, 2, 5
28, 3, 1, 4
29, 3, 2, 5
30, 3, 1, 4
31, 2, 2, 4
32, 2, 2, 4
33, 3, 1, 4
34, 3, 2, 5
35, 2, 3, 5
36, 3, 0, 3
37, 2, 1, 3
38, 2, 1, 3
39, 2, 1, 3
40, 1, 3, 4
41, 3, 1, 4
42, 1, 2, 3
43, 2, 2, 4
44, 1, 3, 4
45, 2, 1, 3
46, 2, 3, 5
47, 3, 2, 5
48, 2, 3, 5
49, 2, 2, 4
50, 3, 2, 5
51, 2, 3, 5
52, 0, 5, 5
53, 1, 3, 4
54, 2, 3, 5
55, 1, 3, 4
56, 0, 4, 4
57, 1, 3, 4
58, 1, 2, 3
59, 2, 3, 5
60, 1, 4, 5
61, 1, 3, 4
62, 3, 0, 3
63, 3, 0, 3
64, 2, 1, 3
65, 1, 1, 2
66, 1, 1, 2
67, 0, 2, 2
68, 2, 0, 2
69, 1, 1, 2
70, 0, 2, 2
71, 0, 2, 2
72, 1, 1, 2
73, 0, 3, 3
74, 2, 2, 4
75, 1, 3, 4
76, 1, 3, 4
77, 1, 3, 4
78, 1, 3, 4
79, 1, 3, 4
80, 0, 4, 4
81, 0, 2, 2
82, 0, 3, 3
83, 2, 0, 2
84, 0, 2, 2
85, 2, 1, 3
86, 2, 1, 3
87, 2, 1, 3
88, 1, 2, 3
89, 2, 1, 3
90, 1, 2, 3
91, 3, 1, 4
92, 2, 2, 4
93, 3, 1, 4
94, 2, 2, 4
95, 2, 2, 4
96, 2, 2, 4
97, 3, 1, 4
98, 2, 2, 4
99, 4, 0, 4
100, 1, 2, 3
101, 1, 3, 4
